order_id,user_id,order_date,shipping_address,total_amount,status
73,27,2024-07-08,"69, Thaker Street, Tiruppur-552687",1688.67,Cancelled
74,92,2024-04-10,"H.No. 46, Sule Nagar, Anantapuram 508437",18996.14,Shipped
75,75,2024-07-29,"02, Johal Street, Tirunelveli-120696",17654.42,Shipped
76,63,2024-06-14,"36, Deep Street, Jabalpur-840749",18275.76,Pending
77,12,2024-03-11,"300, Keer Street, Muzaffarnagar-664025",12706.87,Shipped
78,66,2024-03-13,"H.No. 59, Kakar Path, Hindupur 473572",8830.41,Pending
79,58,2024-07-08,"44/361, Goyal Marg, Ambala 741533",10164.61,Shipped
80,8,2024-06-22,"H.No. 68, Divan Ganj, Bardhaman 871766",19459.66,Cancelled
81,59,2024-06-20,"H.No. 37, Barad Nagar, Barasat 230536",18860.93,Delivered
82,17,2024-08-02,"05/57, Lala Path, Miryalaguda 003294",13591.18,Pending
83,66,2024-07-24,"H.No. 264, Soni, Allahabad-911510",15823.19,Cancelled
84,54,2024-01-25,"21/808, Vora Road, Belgaum 047645",6715.32,Cancelled
85,59,2024-05-31,"57/50, Swaminathan Circle, Kochi 973267",8618.33,Pending
86,73,2024-03-04,"673, Goda Ganj, Akola 998828",3409.74,Pending
87,8,2024-01-11,"H.No. 59, Barman Nagar, Chinsurah-783139",7840.97,Cancelled
88,72,2024-07-11,"640, Salvi Road, Jehanabad-605343",15211.11,Pending
89,60,2024-05-13,"91/36, Atwal Chowk, Dibrugarh-193400",9733.62,Pending
90,87,2024-03-19,"58/11, Gour Chowk, Kollam 912980",17062.15,Delivered
91,40,2024-07-09,"59/529, Ghosh, Secunderabad 970675",6364.36,Delivered
92,93,2024-07-20,"242, Jain Ganj, Bharatpur-294743",14297.75,Pending
93,3,2024-05-22,"H.No. 00, Ray Marg, Bhusawal-800601",16212.64,Cancelled
94,51,2024-03-31,"84/78, Ratti Street, Bhatpara 315144",18337.45,Shipped
95,33,2024-02-16,"H.No. 686, Mani Nagar, Unnao-254979",11466.53,Pending
96,1,2024-01-05,"86/11, Madan Chowk, Nagpur-661255",19371.83,Pending
97,96,2024-04-08,"88/492, Shroff Chowk, Mysore-846309",11367.09,Shipped
98,28,2024-03-27,"H.No. 85, Soni Path, Nandyal 902496",3114.81,Shipped
99,75,2024-02-10,"655, Sodhi Circle, Hubli–Dharwad 586503",5235.74,Shipped
100,10,2024-05-30,"11/695, Doshi, Bokaro 520636",4465.07,Delivered
